,inner_x,inner_y,outer_x,outer_y
235,-230.84202406895818,-44.418013505182806,-232.80793442801158,-32.58014222440912
236,-231.828513342356,-44.581839368437265,-233.79442370140939,-32.74396808766358
237,-232.8150026157538,-44.74566523169172,-234.7809129748072,-32.90779395091802
238,-233.8014918891516,-44.90949109494616,-235.767402248205,-33.07161981417248
239,-234.7879811625494,-45.073316958200614,-236.7538915216028,-33.23544567742693
240,-235.77447043594722,-45.23714282145507,-237.74038079500062,-33.399271540681376
241,-236.76095970934503,-45.40096868470952,-238.72687006839843,-33.56309740393582
242,-237.74744898274284,-45.56479454796396,-239.71335934179623,-33.72692326719028
243,-238.7339382561406,-45.728620411218415,-240.6998486151941,-33.89074913044473
244,-239.72042752953843,-45.892446274472874,-241.68633788859182,-34.05457499369919
245,-240.7069168029363,-46.056272137727326,-242.67282716198963,-34.21840085695363
246,-241.69340607633407,-46.22009800098177,-243.65931643538747,-34.38222672020809
247,-242.67989534973188,-46.38392386423622,-244.64580570878528,-34.54605258346254
248,-243.6663846231297,-46.54774972749068,-245.63229498218308,-34.709878446716985
249,-244.6528738965275,-46.71157559074513,-246.6187842555809,-34.87370430997143
250,-245.63936316992528,-46.87540145399957,-247.60527352897873,-35.03753017322589
251,-246.6258524433231,-47.03922731725403,-248.5917628023765,-35.20135603648035
252,-247.61234171672092,-47.20305318050848,-249.57825207577432,-35.365181899734786
253,-248.59883099011873,-47.36687904376293,-250.56474134917212,-35.529007762989245
254,-249.58532026351654,-47.53070490701739,-251.55123062256993,-35.69283362624369
255,-250.57180953691434,-47.69453077027183,-252.53771989596774,-35.856659489498135
256,-251.55829881031215,-47.85835663352628,-253.52420916936555,-36.020485352752594
257,-252.5447880837099,-48.02218249678072,-254.51069844276336,-36.18431121600704
258,-253.53127735710768,-48.186008360035174,-255.49718771616114,-36.34813707926149
